Date,Open,High,Low,Close,Adj Close,Volume
2017-04-28,22296.800781,22383.000000,22182.550781,22358.250000,22358.250000,0
2017-05-02,22412.550781,22492.150391,22266.150391,22341.349609,22341.349609,0
2017-05-03,22445.849609,22449.000000,22240.050781,22307.300781,22307.300781,0
2017-05-04,22618.300781,22743.699219,22449.900391,22720.099609,22720.099609,0
2017-05-05,22844.849609,22853.550781,22514.000000,22604.949219,22604.949219,0
2017-05-08,22678.449219,22835.150391,22632.500000,22767.349609,22767.349609,0
2017-05-09,22820.800781,22835.349609,22664.349609,22707.300781,22707.300781,0
2017-05-10,22767.750000,22859.400391,22742.050781,22830.349609,22830.349609,0
2017-05-11,22916.050781,22977.849609,22764.650391,22818.449219,22818.449219,0
2017-05-12,22840.400391,22859.150391,22578.000000,22671.699219,22671.699219,0
2017-05-15,22735.849609,22891.699219,22730.349609,22821.500000,22821.500000,0
2017-05-16,22857.599609,22944.099609,22727.650391,22928.599609,22928.599609,0
2017-05-17,22972.349609,22978.150391,22830.099609,22935.949219,22935.949219,0
2017-05-18,22750.449219,22834.550781,22660.199219,22698.599609,22698.599609,0
2017-05-19,22761.949219,22902.250000,22628.449219,22769.800781,22769.800781,0
2017-05-22,22874.800781,22918.349609,22637.750000,22652.849609,22652.849609,0
2017-05-23,22674.900391,22740.400391,22492.199219,22582.800781,22582.800781,0
2017-05-24,22624.500000,22673.400391,22469.800781,22536.300781,22536.300781,0
2017-05-25,22573.650391,23267.800781,22570.349609,23190.800781,23190.800781,0
2017-05-26,23151.400391,23408.349609,23092.349609,23362.199219,23362.199219,0
2017-05-29,23310.599609,23464.000000,23141.150391,23182.750000,23182.750000,0
2017-05-30,23142.099609,23337.150391,23093.949219,23307.250000,23307.250000,0
2017-05-31,23321.199219,23469.449219,23248.500000,23424.800781,23424.800781,0
2017-06-01,23394.099609,23396.150391,23224.050781,23310.150391,23310.150391,0
2017-06-02,23435.199219,23453.300781,23308.400391,23375.900391,23375.900391,0
2017-06-05,23397.400391,23494.699219,23349.949219,23459.650391,23459.650391,0
